Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",715800,"Community-Based Comprehensive Health Services And Livelihoods Opportunities For Afghan Refugees And Host Communities In Three Refugee Camps Of Baluchistan, Pakistan",NGO,NGO - United States,NGO - United States Redacted
2012,Health,Maternal and Child Health,698979,Maternal and Child Health,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",679670,Crisis Assistance and Recovery,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2012,Economic Development,Private Sector Competitiveness,675203,Gender Equity Project,NGO,NGO - Non United States,Aurat Publication and Information Service Foundation
2012,Education and Social Services,Social Assistance,662657,Social Assistance,Multilateral,Multilateral - Other,International Organisation for Migration
2012,Peace and Security,Counter-Narcotics,629000,In-Country Counternarcotics Program,Government,Government - United States,U.S. Government - Department of Defense
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",623300,Ocean Freight of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2012,Education and Social Services,Higher Education,609587,USAID HEC Merit and Needs Based Scholarship Program,Government,Government - Non United States,Government of Pakistan - Higher Education Commission
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",608480,Program Support (Protection),Government,Government - United States,U.S. Government - Department of Agriculture
2012,Health,Water Supply and Sanitation,596840,USAID DO3 - OTI Pakistan Transition Initiative Project,Enterprises,Enterprises - United States,Creative Associates International
2012,Program Support,Direct Administrative Costs,560322,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2012,Health,Maternal and Child Health,555586,Maternal and Child Health,NGO,NGO - United States,Aga Khan Development Network
2012,Health,Maternal and Child Health,542272,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Economic Development,Infrastructure,525917,Transport Services,Enterprises,Enterprises - Non United States,AGES Consultants
2012,Health,Nutrition,520462,Commodity Cost of Food Aid under Food For Education Program,NGO,NGO - United States,Land O'Lakes Venture37
2012,Economic Development,Infrastructure,518400,"Feasibility Study - PAKISTAN: FEASIBILITY STUDY: EXPANDED MAINTENANCE, REPAIR, AND OVERHAUL FACILITY FOR PAKISTAN INTERNATIONAL AIRLINES, through Government Of Pakistan",Government,Government - Non United States,Government of Pakistan
2012,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,493610,Gender Equity Project,NGO,NGO - Non United States,Aurat Publication and Information Service Foundation
2012,Education and Social Services,Higher Education,486621,Higher Education,Enterprises,Enterprises - United States,"JBS International, Inc."
2012,Education and Social Services,Basic Education,483016,Small Grant and Ambassador's Fund Program (SGAFP),NGO,NGO - Non United States,National Rural Support Programme (Pakistan)
2012,Economic Development,Private Sector Competitiveness,477561,Inter-Agency Agreement between USAID & DOC/OGC/CLDP to transfer funds,Government,Government - United States,U.S. Government - Department of Commerce
2012,Program Support,Direct Administrative Costs,459327,Administration and Oversight,Government,Government - United States,U.S. Government - Department of Agriculture
2012,Program Support,Direct Administrative Costs,445054,Administration and Oversight,Government,Government - United States,U.S. Government - Department of State
2012,"Democracy, Human Rights, and Governance",Civil Society,423430,Citizen Voice and Public Accountability Project,Universities and Research Institutes,Universities and Research Institutes - Non United States,Trust for Democratic Education and Accountability
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",413911,Crisis Assistance and Recovery,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2012,Health,Maternal and Child Health,413383,Maternal and Child Health,Enterprises,Enterprises - Non United States,AGES Consultants
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",412338,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Program Support,Direct Administrative Costs,406962,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2012,Health,Maternal and Child Health,398566,Small Grant and Ambassador's Fund Program (SGAFP),NGO,NGO - Non United States,National Rural Support Programme (Pakistan)
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",387100,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",384800,Ocean Freight of USAID Title II Food Aid for Sri Lank Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",382881,Crisis Assistance and Recovery,Enterprises,Enterprises - United States,CDM Corporation
2012,Health,HIV/AIDS,382202,HIV/AIDS,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",369180,Crisis Assistance and Recovery,Enterprises,Enterprises - United States,CDM Corporation
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",369000,"Education, Skills, And Protection For Afghan Refugees And Host Communities",Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted
2012,Program Support,Direct Administrative Costs,361943,Administrative costs,Enterprises,Enterprises - United States,Scaletta Maloney Armoring Corp.
2012,Program Support,Direct Administrative Costs,357204,Program Design and Learning,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",354554,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",344073,Cross-Border Livelihoods Initiative,NGO,NGO - International,NGO - International Other
2012,Economic Development,Infrastructure,336603,FATA Livelihood Development Program,NGO,NGO - United States,NGO - United States Redacted
2012,Program Support,Direct Administrative Costs,334828,"Sukkur Support Facility, Northern Sidh",Enterprises,Enterprises - United States,Pragma Corporation
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",329159,Construction Trade Training And Skill Development Program,Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted
2012,Program Support,Direct Administrative Costs,322815,Quick Response Technical Assistance Task Order under WATER IQC II,Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2012,Program Support,Direct Administrative Costs,314204,Administration and Oversight,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2012,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,309662,Gender Equity Project,NGO,NGO - Non United States,Aurat Publication and Information Service Foundation
2012,Economic Development,Infrastructure,306287,"Feasibility Study - KARACHI INTEGRATED SMART GRID SYSTEM, through Government Of Pakistan",Government,Government - Non United States,Government of Pakistan
2012,Program Support,Direct Administrative Costs,300000,Global Health Fellows Program II (GHFP-II),NGO,NGO - United States,NGO - United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",295700,Ocean Freight of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2012,Program Support,Direct Administrative Costs,293803,Administration and Oversight,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2012,Program Support,Direct Administrative Costs,291720,Administrative costs,Enterprises,Enterprises - United States,"Dell, Inc."
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",287643,Primary Healthcare Repatriation And Gender Based Violence Support Afghan Refugees In Pakistan,NGO,NGO - United States,NGO - United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",285790,"Extension Of Project ""skills Training And Income Generation For Urban Afghan Refugees"" (Phaseii)",NGO,NGO - Non United States,NGO - Non United States Redacted
2012,Economic Development,Trade and Investment,285146,Special American Business Internship Training (SABIT) Program - Technical Assistance,Government,Government - United States,U.S. Government - Department of Commerce
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",278417,Macro Grant to UN Office for the Coordination of Humanitarian Affairs (UNOCHA),Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2012,Health,Maternal and Child Health,273670,Maternal and Child Health,Government,Government - Non United States,Government of Pakistan
2012,Program Support,Direct Administrative Costs,273074,Administration and Oversight,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
